sort_order,section,question_text,response_type,required,problem_values,creates_task_on_problem,default_task_title,default_severity,photo_required_on_problem,help_text
10,Vehicle checks,Months until Warrant of Fitness is due,number,True,,False,,Low,False,"Enter the number of months remaining. If expired or due soon, create a maintenance task or note it for the Ops Manager."
20,Vehicle checks,Months until Registration is due,number,True,,False,,Low,False,"Enter the number of months remaining. If expired or due soon, create a maintenance task or note it for the Ops Manager."
30,Vehicle checks,Vehicle mileage / odometer reading,number,True,,False,,Low,False,Record the vehicle mileage. You can also use the inspection odometer field.
40,Vehicle checks,Kilometres remaining on Road User Charges - diesel vehicles only,number,False,,False,,Low,False,Diesel vehicles only. Leave blank or mark N/A if not applicable.
50,Vehicle checks,Wheel nuts checked with wheel spanner for tightness,pass_fail_na,True,Issue to report,True,Check/tighten vehicle wheel nuts,High,True,Use a wheel spanner to check tightness of all wheel nuts.
60,Vehicle checks,Vehicle checks - any other issue to note?,yes_no,True,Yes,True,Review vehicle check note,Medium,True,"Select Yes if anything needs the Ops Manager to review, and describe it in notes."
100,Vehicle maintenance,"Vehicle exterior washed - wash mix applied, painted surfaces brushed, and rinsed",pass_fail_na,True,Issue to report,True,Complete exterior vehicle wash,Low,True,Regular cleaning task to keep the vehicle presentable and in good condition.
110,Vehicle maintenance,Vehicle tray cleaned - items removed and tray pressure washed clean,pass_fail_na,True,Issue to report,True,Clean vehicle tray,Low,True,Remove all items from the tray before pressure washing clean.
120,Vehicle maintenance,Vehicle cab tidied - rubbish removed and interior surfaces wiped down,pass_fail_na,True,Issue to report,True,Clean and tidy vehicle cab,Low,True,"Remove rubbish, tidy the cab, wipe down surfaces, and add cab photos here where useful."
130,Vehicle maintenance,Truck and tray photos uploaded after cleaning,pass_fail_na,True,Issue to report,True,Upload truck/tray cleaning photos,Low,False,Use the inspection photo upload field to attach images after cleaning.
140,Vehicle maintenance,Vehicle maintenance - any other issue to note?,yes_no,True,Yes,True,Review vehicle maintenance note,Medium,True,"Select Yes if anything needs the Ops Manager to review, and describe it in notes."
200,Washing equipment - trigger guns,Trigger guns - minimum 2 on board and in good working condition,pass_fail_na,True,Issue to report,True,Replace/repair missing or faulty trigger guns,High,True,
210,Washing equipment - trigger guns,Trigger guns - spare O-rings for quick-connect fittings present,pass_fail_na,True,Issue to report,True,Restock trigger gun quick-connect O-rings,Medium,False,
2200,Washing equipment - wands and poles,2 x 1 metre wands on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair 1 metre wands,Medium,True,
2210,Washing equipment - wands and poles,1 x 2 metre wand on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair 2 metre wand,Medium,True,
2220,Washing equipment - wands and poles,1 x 0.5 metre wand on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair 0.5 metre wand,Medium,True,
2230,Washing equipment - wands and poles,10m extendable brush on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair 10m extendable brush,Medium,True,
2240,Washing equipment - wands and poles,12m carbon wash pole on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair 12m carbon wash pole,Medium,True,
2250,Washing equipment - wands and poles,1 x stubby gutter attachment on board and in good working condition,pass_fail_na,True,Issue to report,True,Restock/repair stubby gutter attachment,Medium,True,
300,Washing equipment - nozzles,2 x White 90's nozzles present,pass_fail_na,True,Issue to report,True,Restock White 90's nozzles,Medium,False,
310,Washing equipment - nozzles,2 x White 60's nozzles present,pass_fail_na,True,Issue to report,True,Restock White 60's nozzles,Medium,False,
320,Washing equipment - nozzles,2 x White 45's nozzles present,pass_fail_na,True,Issue to report,True,Restock White 45's nozzles,Medium,False,
330,Washing equipment - nozzles,2 x Red nozzles present,pass_fail_na,True,Issue to report,True,Restock Red nozzles,Medium,False,
340,Washing equipment - nozzles,2 x Chem Jet nozzles present,pass_fail_na,True,Issue to report,True,Restock Chem Jet nozzles,Medium,False,
350,Washing equipment - nozzles,2 x Chem fan nozzles present,pass_fail_na,True,Issue to report,True,Restock Chem fan nozzles,Medium,False,
360,Washing equipment - nozzles,2 x Turbo nozzles present,pass_fail_na,True,Issue to report,True,Restock Turbo nozzles,Medium,False,
380,Washing equipment - plumbing fittings,Sufficient spare tap connectors present,pass_fail_na,True,Issue to report,True,Restock spare tap connectors,Medium,False,
390,Washing equipment - plumbing fittings,Sufficient spare end-of-hose fittings present,pass_fail_na,True,Issue to report,True,Restock spare end-of-hose fittings,Medium,False,
400,Washing equipment - ladders,Ladder levelling feet flushed with high-pressure water to remove dirt,pass_fail_na,True,Issue to report,True,Clean ladder levelling feet,Medium,True,
410,Washing equipment - ladders,Ladder levelling feet sliding areas lubricated with WD40,pass_fail_na,True,Issue to report,True,Lubricate ladder levelling feet,Medium,True,
420,Washing equipment - ladders,Ladders checked for damage,pass_fail_na,True,Issue to report,True,Inspect/repair damaged ladder,High,True,"If ladder damage is found, remove it from service and advise the Ops Manager."
430,Washing equipment - surface cleaner,"Surface cleaner working correctly with no damage, wear, or tear",pass_fail_na,True,Issue to report,True,Repair or replace surface cleaner,High,True,
440,Washing equipment - pure water system,Pure water system tested - water purity is 20ppm or below,pass_fail_na,True,Issue to report,True,Investigate pure water reading above 20ppm,Medium,True,Original form says report if reading is above 20ppm.
450,Washing equipment - pure water system,Pure water system hoses in good condition,pass_fail_na,True,Issue to report,True,Repair/replace pure water system hoses,Medium,True,
460,Washing equipment - pure water system,Water fed pole present and in good order,pass_fail_na,True,Issue to report,True,Repair/replace water fed pole,Medium,True,
500,Washing equipment - tools,Screwdrivers (+ and -) present,pass_fail_na,True,Issue to report,True,Restock screwdrivers,Low,False,
510,Washing equipment - tools,22mm spanner present,pass_fail_na,True,Issue to report,True,Restock 22mm spanner,Low,False,
520,Washing equipment - tools,24mm spanner present,pass_fail_na,True,Issue to report,True,Restock 24mm spanner,Low,False,
530,Washing equipment - tools,Large adjustable spanner present,pass_fail_na,True,Issue to report,True,Restock large adjustable spanner,Low,False,
540,Washing equipment - tools,Socket set present,pass_fail_na,True,Issue to report,True,Restock socket set,Low,False,
550,Washing equipment - tools,Dentist picks present,pass_fail_na,True,Issue to report,True,Restock dentist picks,Low,False,
560,Washing equipment - tools,Adjustable parrot grips present,pass_fail_na,True,Issue to report,True,Restock adjustable parrot grips,Low,False,
570,Washing equipment - tools,Thread tape present,pass_fail_na,True,Issue to report,True,Restock thread tape,Low,False,
580,Washing equipment - tools,WD40 or similar present,pass_fail_na,True,Issue to report,True,Restock WD40 or equivalent,Low,False,
590,Washing equipment,Washing equipment checks - any other issue to note?,yes_no,True,Yes,True,Review washing equipment note,Medium,True,
600,Safety equipment - PPE,First Aid Kit present and in usable condition,pass_fail_na,True,Issue to report,True,Restock/replace first aid kit,Medium,True,
610,Safety equipment - PPE,Eye wash present and in usable condition,pass_fail_na,True,Issue to report,True,Restock/replace eye wash,Medium,True,
620,Safety equipment - PPE,Fire extinguisher pressure gauge is in the green,pass_fail_na,True,Issue to report,True,Service/replace fire extinguisher,High,True,
630,Safety equipment - PPE,Fire extinguisher plastic tag is in place,pass_fail_na,True,Issue to report,True,Check fire extinguisher tag,Medium,True,
640,Safety equipment - PPE,Safety glasses present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace safety glasses,Medium,True,
650,Safety equipment - PPE,Hearing protection present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace hearing protection,Medium,True,
660,Safety equipment - PPE,Rubber chemical gloves present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace rubber chemical gloves,Medium,True,
670,Safety equipment - PPE,Sign board and base present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace sign board and base,Low,False,
680,Safety equipment - PPE,Safety cones present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace safety cones,Low,False,
690,Safety equipment - PPE,MSDS sheet folder present,pass_fail_na,True,Issue to report,True,Replace/update MSDS sheet folder,Medium,True,
700,Safety equipment - PPE,Sunscreen present,pass_fail_na,True,Issue to report,True,Restock sunscreen,Low,False,
710,Safety equipment - PPE,Ladder pad present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace ladder pad,Medium,True,
720,Safety equipment - PPE,Gutter clamp present and in good condition,pass_fail_na,True,Issue to report,True,Restock/replace gutter clamp,Medium,True,
800,Drivers side engine and pump,Drivers side engine and pump - Engine oil level OK,pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Check/top up engine oil,High,True,
810,Drivers side engine and pump,"Drivers side engine and pump - Engine oil colour OK - golden and clear, not black or cloudy",pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Change/investigate engine oil condition,High,True,
820,Drivers side engine and pump,Drivers side engine and pump - Pump oil level OK,pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Check/top up pump oil,High,True,
830,Drivers side engine and pump,"Drivers side engine and pump - Pump oil colour OK - golden and clear, not black or cloudy",pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Change/investigate pump oil condition,High,True,
840,Drivers side engine and pump,Drivers side engine and pump - Water and grit sucked out from fuel tank with syringe,pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Remove water/grit from fuel tank,Medium,True,
850,Drivers side engine and pump,Drivers side engine and pump - Pump and unloader valve checked for leaks,pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Investigate pump/unloader valve leak,High,True,
860,Drivers side engine and pump,Drivers side engine and pump - Pressure hose and swivel checked for leaks,pass_fail_na,True,Issue to report,True,Drivers side engine and pump - Investigate pressure hose or swivel leak,High,True,
880,Drivers side engine and pump,Drivers side engine and pump - any other issue to note?,yes_no,True,Yes,True,Review drivers side engine and pump note,Medium,True,
900,Passenger side engine and pump,Passenger side engine and pump - Engine oil level OK,pass_fail_na,True,Issue to report,True,Passenger side engine and pump - Check/top up engine oil,High,True,
